GSMID	GSEID	BrendaTerm
GSM553648	GSE22229	blood
GSM662688	GSE26906	colon
GSM662682	GSE26906	colon
GSM662683	GSE26906	colon
GSM662680	GSE26906	colon
GSM662681	GSE26906	colon
GSM662686	GSE26906	colon
GSM662687	GSE26906	colon
GSM662684	GSE26906	colon
GSM662685	GSE26906	colon
GSM432139	GSE17251, GSE17254	hepatocyte
GSM525372	GSE21029	lymph node, chronic lymphocytic leukemia cell
GSM525373	GSE21029	lymph node, chronic lymphocytic leukemia cell
GSM525370	GSE21029	lymph node, chronic lymphocytic leukemia cell
GSM318424	GSE12679	prefrontal cortex, brain endothelium
GSM318425	GSE12679	prefrontal cortex, brain endothelium
GSM318426	GSE12679	prefrontal cortex, brain endothelium
GSM318427	GSE12679	prefrontal cortex, brain endothelium
GSM318420	GSE12679	prefrontal cortex, brain endothelium
GSM318421	GSE12679	prefrontal cortex, brain endothelium
GSM318422	GSE12679	prefrontal cortex, brain endothelium
GSM318423	GSE12679	prefrontal cortex, brain endothelium
GSM318428	GSE12679	prefrontal cortex
GSM318429	GSE12679	prefrontal cortex
GSM401059	GSE16028	blood
GSM124863	GSE11881	peripheral blood mononuclear cell
GSM262188	GSE10358	bone marrow
GSM262183	GSE10358	bone marrow
GSM262182	GSE10358	bone marrow
GSM262185	GSE10358	bone marrow
GSM262184	GSE10358	bone marrow
GSM262187	GSE10358	bone marrow
GSM262186	GSE10358	bone marrow
GSM726069	GSE29375	Hep-G2 cell
GSM229931	GSE9055	HUVEC cell
GSM229930	GSE9055	HUVEC cell
GSM229932	GSE9055	HUVEC cell
GSM125099	GSE5460	breast
GSM125098	GSE5460	breast
GSM125093	GSE5460	breast
GSM125092	GSE5460	breast
GSM125091	GSE5460	breast
GSM125090	GSE5460	breast
GSM125097	GSE5460	breast
GSM125096	GSE5460	breast
GSM125095	GSE5460	breast
GSM125094	GSE5460	breast
GSM415391	GSE16538	lung
GSM349857	GSE13906, GSE6034	lymphocyte
GSM349856	GSE13906, GSE6034	lymphocyte
GSM340536	GSE13506	adipose tissue
GSM340535	GSE13506	adipose tissue
GSM340534	GSE13506	adipose tissue
GSM340533	GSE13506	adipose tissue
GSM340532	GSE13506	adipose tissue
GSM340531	GSE13506	adipose tissue
GSM340530	GSE13506	adipose tissue
GSM483335	GSE19429	hematopoietic stem cell, bone marrow
GSM483334	GSE19429	hematopoietic stem cell, bone marrow
GSM483337	GSE19429	hematopoietic stem cell, bone marrow
GSM483336	GSE19429	hematopoietic stem cell, bone marrow
GSM483331	GSE19429	hematopoietic stem cell, bone marrow
GSM483330	GSE19429	hematopoietic stem cell, bone marrow
GSM483333	GSE19429	hematopoietic stem cell, bone marrow
GSM483332	GSE19429	hematopoietic stem cell, bone marrow
GSM483339	GSE19429	hematopoietic stem cell, bone marrow
GSM483338	GSE19429	hematopoietic stem cell, bone marrow
GSM445928	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445929	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445922	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445923	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445926	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445927	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445924	GSE17855	acute myeloid leukemia cell
GSM445925	GSE17855, GSE22056	acute myeloid leukemia cell
GSM85483	GSE3744	breast
GSM407254	GSE16214	peripheral blood mononuclear cell
GSM702225	GSE28413, GSE28415	MCF-7 cell
GSM407255	GSE16214	peripheral blood mononuclear cell
GSM85484	GSE3744	breast
GSM702224	GSE28413, GSE28415	MCF-7 cell
GSM85485	GSE3744	breast
GSM702227	GSE28415	MCF-7 cell
GSM407253	GSE16214	peripheral blood mononuclear cell
GSM702226	GSE28415	MCF-7 cell
GSM702223	GSE28413, GSE28415	MCF-7 cell
GSM358020	GSE14328	kidney
GSM358021	GSE14328	kidney
GSM465189	GSE18728	breast
GSM574059	GSE22499, GSE23402	skin fibroblast cell line
GSM574058	GSE22499, GSE23402	skin fibroblast cell line
GSM272764	GSE10799	lung
GSM272765	GSE10799	lung
GSM272766	GSE10799	lung
GSM272767	GSE10799	lung
GSM272760	GSE10799	lung
GSM272761	GSE10799	lung
GSM272762	GSE10799	lung
GSM272763	GSE10799	lung
GSM272768	GSE10799	lung
GSM272769	GSE10799	lung
GSM330314	GSE13637	HUVEC cell
GSM330315	GSE13637	HUVEC cell
GSM330316	GSE13637	HUVEC cell
GSM330313	GSE13637	HUVEC cell
GSM299712	GSE11869	Ishikawa cell
GSM299713	GSE11869	Ishikawa cell
GSM299710	GSE11869	Ishikawa cell
GSM299711	GSE11869	Ishikawa cell
GSM299716	GSE11869	Ishikawa cell
GSM299717	GSE11869	Ishikawa cell
GSM299714	GSE11869	Ishikawa cell
GSM299715	GSE11869	Ishikawa cell
GSM299718	GSE11869	Ishikawa cell
GSM299719	GSE11869	Ishikawa cell
GSM281191	GSE11142	blood
GSM281190	GSE11142	blood
GSM281193	GSE11142	blood
GSM281192	GSE11142	blood
GSM281195	GSE11142	blood
GSM281194	GSE11142	blood
GSM281197	GSE11142	blood
GSM281196	GSE11142	blood
GSM281199	GSE11142	blood
GSM281198	GSE11142	blood
GSM275237	GSE10846, GSE17372	lymph node
GSM275236	GSE10846, GSE17372	lymph node
GSM275235	GSE10846, GSE17372	lymph node
GSM275234	GSE10846, GSE17372	lymph node
GSM275233	GSE10846, GSE17372	lymph node
GSM275232	GSE10846, GSE17372	lymph node
GSM275231	GSE10846	lymph node
GSM275230	GSE10846, GSE17372	lymph node
GSM275239	GSE10846	lymph node
GSM275238	GSE10846, GSE17372	lymph node
GSM387147	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387143	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387142	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387141	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387140	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM190152	GSE11952, GSE19407, GSE7832	lung
GSM190153	GSE11952, GSE19407, GSE7832, GSE8545	lung
GSM190150	GSE11952, GSE19407, GSE7832	lung
GSM190151	GSE11952, GSE13933, GSE19407, GSE7832, GSE8545	lung
GSM190156	GSE11952, GSE13933, GSE19407, GSE19667, GSE7832	lung
GSM190154	GSE11952, GSE19407, GSE7832	lung
GSM190155	GSE11952, GSE19407, GSE19667, GSE7832	lung
GSM119677	GSE5281	striate cortex
GSM187707	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187706	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187705	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187704	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187703	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187702	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187701	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187700	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187709	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM187708	GSE7757	blood, bone marrow, leukemia cell, leukocyte
GSM381217	GSE15258	blood
GSM381216	GSE15258	blood
GSM85499	GSE3744	breast
GSM85498	GSE3744	breast
GSM85495	GSE3744	breast
GSM85494	GSE3744	breast
GSM85497	GSE3744	breast
GSM85496	GSE3744	breast
GSM381219	GSE15258	blood
GSM381218	GSE15258	blood
GSM272209	GSE10780	breast
GSM272208	GSE10780	breast
GSM272207	GSE10780	breast
GSM272206	GSE10780	breast
GSM272205	GSE10780	breast
GSM272204	GSE10780	breast
GSM272203	GSE10780	breast
GSM272202	GSE10780	breast
GSM272201	GSE10780	breast
GSM272200	GSE10780	breast
GSM446109	GSE17855	acute myeloid leukemia cell
GSM446108	GSE17855	acute myeloid leukemia cell
GSM446101	GSE17855	acute myeloid leukemia cell
GSM446100	GSE17855	acute myeloid leukemia cell
GSM446103	GSE17855	acute myeloid leukemia cell
GSM446102	GSE17855	acute myeloid leukemia cell
GSM446105	GSE17855	acute myeloid leukemia cell
GSM446104	GSE17855	acute myeloid leukemia cell
GSM446107	GSE17855	acute myeloid leukemia cell
GSM446106	GSE17855	acute myeloid leukemia cell
GSM472151	GSE19069	T-cell lymphoma cell
GSM472150	GSE19069	T-cell lymphoma cell
GSM342777	GSE13070	skeletal muscle
GSM342776	GSE13070	adipose tissue
GSM342775	GSE13070	adipose tissue
GSM342771	GSE13070	skeletal muscle
GSM342770	GSE13070	adipose tissue
GSM257997	GSE10445	lung
GSM257995	GSE10445	lung
GSM212074	GSE8581	lung
GSM212075	GSE8581	lung
GSM261139	GSE10334	gingiva
GSM261138	GSE10334	gingiva
GSM261131	GSE10334	gingiva
GSM261130	GSE10334	gingiva
GSM261133	GSE10334	gingiva
GSM261132	GSE10334	gingiva
GSM261135	GSE10334	gingiva
GSM261134	GSE10334	gingiva
GSM261137	GSE10334	gingiva
GSM261136	GSE10334	gingiva
GSM475767	GSE19188	lung
GSM475766	GSE19188	lung
GSM342747	GSE13070	skeletal muscle
GSM281352	GSE11166	kidney
GSM281351	GSE11166	kidney
GSM281357	GSE11166	kidney
GSM281356	GSE11166	kidney
GSM281354	GSE11166	kidney
GSM281359	GSE11166	kidney
GSM25828	GSE1145	heart, cardiac muscle
GSM25829	GSE1145	heart, cardiac muscle
GSM25826	GSE1145	heart, cardiac muscle
GSM25827	GSE1145	heart, cardiac muscle
GSM25825	GSE1145	heart, cardiac muscle
GSM25822	GSE1145	heart, cardiac muscle
GSM25823	GSE1145	heart, cardiac muscle
GSM25820	GSE1145	heart, cardiac muscle
GSM25821	GSE1145	heart, cardiac muscle
GSM280909	GSE11135	Hep-G2 cell
GSM280908	GSE11135	Hep-G2 cell
GSM280901	GSE11135	mononuclear cell, chronic lymphocytic leukemia cell
GSM280900	GSE11135	mononuclear cell, chronic myeloid leukemia cell
GSM280903	GSE11135	mononuclear cell, acute myeloid leukemia cell
GSM280902	GSE11135	mononuclear cell, acute myeloid leukemia cell
GSM252006	GSE9960	mononuclear cell, peripheral blood mononuclear cell
GSM252005	GSE9960	mononuclear cell, peripheral blood mononuclear cell
GSM252004	GSE9960	mononuclear cell, peripheral blood mononuclear cell
GSM252003	GSE9960	mononuclear cell, peripheral blood mononuclear cell
GSM252002	GSE9960	mononuclear cell, peripheral blood mononuclear cell
GSM252001	GSE9960	mononuclear cell, peripheral blood mononuclear cell
GSM252000	GSE9960	mononuclear cell, peripheral blood mononuclear cell
GSM434054	GSE19407, GSE19667	respiratory epithelium cell
GSM434058	GSE19407, GSE19667	respiratory epithelium cell
GSM50699	GSE2634	blood
GSM50698	GSE2634	blood
GSM299699	GSE11869	Ishikawa cell
GSM101689	GSE4536	brain
GSM337476	GSE13637	HUVEC cell
GSM299966	GSE11877	peripheral blood, acute lymphoblastic leukemia cell
GSM299960	GSE11877	peripheral blood, acute lymphoblastic leukemia cell
GSM299963	GSE11877	peripheral blood, acute lymphoblastic leukemia cell
GSM299962	GSE11877	peripheral blood, acute lymphoblastic leukemia cell
GSM299969	GSE11877	peripheral blood, acute lymphoblastic leukemia cell
GSM119377	GSE5264	bronchial epithelial cell
GSM226999	GSE8961	respiratory epithelium cell, A-549 cell
GSM648665	GSE26440	blood
GSM119379	GSE5264	bronchial epithelial cell
GSM119378	GSE5264	bronchial epithelial cell
GSM281652	GSE11166	kidney
GSM281653	GSE11166	kidney
GSM281650	GSE11166	kidney
GSM281651	GSE11166	kidney
GSM281656	GSE11166	kidney
GSM281657	GSE11166	kidney
GSM281654	GSE11166	kidney
GSM281655	GSE11166	kidney
GSM456349	GSE18269	hepatocyte
GSM159069	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159068	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159065	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159064	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159067	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159066	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159061	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159060	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159063	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM159062	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM275066	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275067	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275064	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275065	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275062	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275063	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275060	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275061	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275068	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275069	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM249977	GSE9890, GSE9899	endometrioid carcinoma cell
GSM249976	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249975	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249974	GSE9890, GSE9899	endometrioid carcinoma cell
GSM249973	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249972	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249971	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249978	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM386245	GSE15389, GSE15396	peripheral blood mononuclear cell
GSM181002	GSE7476	urinary bladder cancer cell
GSM181000	GSE7476	urinary bladder cancer cell
GSM181001	GSE7476	urinary bladder cancer cell
GSM386244	GSE15389, GSE15396	peripheral blood mononuclear cell
GSM155194	GSE5816	MCF-7 cell
GSM155196	GSE5816	MCF-7 cell
GSM648668	GSE26440	blood
GSM648669	GSE26440	blood
GSM254157	GSE11952, GSE13933, GSE19407, GSE19667, GSE8545	respiratory epithelium cell, alveolar macrophage
GSM254152	GSE11952, GSE13933, GSE19407, GSE19667, GSE8545	lung
GSM254151	GSE11952, GSE13933, GSE19407, GSE19667, GSE8545	lung
GSM254150	GSE11952, GSE19407, GSE19667, GSE8545	lung
GSM97842	GSE4290	brain
GSM254159	GSE11952, GSE19407, GSE19667, GSE8545	respiratory epithelium cell, alveolar macrophage
GSM254158	GSE11952, GSE19407, GSE19667, GSE8545	respiratory epithelium cell, alveolar macrophage
GSM114097	GSE5058	respiratory epithelium cell
GSM114096	GSE5058	respiratory epithelium cell
GSM114095	GSE5058, GSE8545	respiratory epithelium cell
GSM114094	GSE5058, GSE8545	respiratory epithelium cell
GSM114093	GSE5058	respiratory epithelium cell
GSM114092	GSE5058, GSE8545	respiratory epithelium cell
GSM114091	GSE5058	respiratory epithelium cell
GSM114090	GSE11952, GSE19407, GSE19667, GSE5058, GSE8545	respiratory epithelium cell, alveolar macrophage
GSM114099	GSE5058	respiratory epithelium cell
GSM114098	GSE5058	respiratory epithelium cell
GSM350204	GSE13904	blood
GSM350205	GSE13904	blood
GSM350206	GSE13904	blood
GSM350207	GSE13904	blood
GSM350200	GSE13904	blood
GSM350201	GSE13904	blood
GSM350202	GSE13904	blood
GSM350203	GSE13904	blood
GSM350208	GSE13904	blood
GSM350209	GSE13904	blood
GSM300320	GSE11882	entorhinal cortex
GSM300321	GSE11882	hippocampus
GSM300324	GSE11882	entorhinal cortex
GSM300325	GSE11882	hippocampus
GSM300328	GSE11882	entorhinal cortex
GSM300329	GSE11882	hippocampus
GSM231693	GSE9169	brain
GSM238797	GSE5281	entorhinal cortex
GSM238796	GSE5281	entorhinal cortex
GSM238795	GSE5281	entorhinal cortex
GSM238794	GSE5281	entorhinal cortex
GSM238793	GSE5281	entorhinal cortex
GSM238792	GSE5281	entorhinal cortex
GSM238791	GSE5281	entorhinal cortex
GSM238790	GSE5281	entorhinal cortex
GSM238798	GSE5281	entorhinal cortex
GSM77362	GSE3467	thyroid gland
GSM77363	GSE3467	thyroid gland
GSM77366	GSE3467	thyroid gland
GSM77367	GSE3467	thyroid gland
GSM77364	GSE3467	thyroid gland
GSM77365	GSE3467	thyroid gland
GSM77368	GSE3467	thyroid gland
GSM77369	GSE3467	thyroid gland
GSM521618	GSE20854	Ishikawa cell
GSM521610	GSE20854	Ishikawa cell
GSM521613	GSE20854	Ishikawa cell
GSM521612	GSE20854	Ishikawa cell
GSM521615	GSE20854	Ishikawa cell
GSM521614	GSE20854	Ishikawa cell
GSM521617	GSE20854	Ishikawa cell
GSM521616	GSE20854	Ishikawa cell
GSM306247	GSE12172	ovarian serous carcinoma cell
GSM306246	GSE12172	ovarian serous carcinoma cell
GSM306245	GSE12172	ovarian serous carcinoma cell
GSM306244	GSE12172	ovarian low malignant potential tumor cell
GSM306243	GSE12172	ovarian serous carcinoma cell
GSM306242	GSE12172	ovarian low malignant potential tumor cell
GSM306241	GSE12172	ovarian low malignant potential tumor cell
GSM306240	GSE12172	ovarian serous carcinoma cell
GSM475752	GSE19188	lung
GSM452183	GSE18088	colon
GSM213512	GSE8608	macrophage
GSM213511	GSE8608	macrophage
GSM172459	GSE7161	MCF-7 cell
GSM318044	GSE12662	bone marrow
GSM318856	GSE11581	MCF-7 cell
GSM215114	GSE8671	colon
GSM215111	GSE8671	colon
GSM215112	GSE8671	colon
GSM215113	GSE8671	colon
GSM210193	GSE8581	lung
GSM210192	GSE8581	lung
GSM97960	GSE4290	brain
GSM97961	GSE4290	brain
GSM97966	GSE4290, GSE4536	brain
GSM210196	GSE8581	lung
GSM97964	GSE4290	brain
GSM210194	GSE8581	lung
GSM97968	GSE4290	brain
GSM97969	GSE4290	brain
GSM468369	GSE18897	blood
GSM468368	GSE18897	blood
GSM468365	GSE18897	blood
GSM468364	GSE18897	blood
GSM468367	GSE18897	blood
GSM468366	GSE18897	blood
GSM468361	GSE18897	blood
GSM468360	GSE18897	blood
GSM468363	GSE18897	blood
GSM468362	GSE18897	blood
GSM371780	GSE14879	Hodgkin lymphoma cell
GSM201256	GSE8121	blood
GSM201257	GSE8121	blood
GSM201254	GSE8121	blood
GSM201255	GSE8121	blood
GSM201252	GSE8121	blood
GSM201253	GSE8121	blood
GSM201250	GSE8121	blood
GSM201251	GSE8121	blood
GSM201258	GSE8121	blood
GSM201259	GSE8121	blood
GSM647600	GSE26378	blood
GSM647609	GSE26378	blood
GSM647608	GSE26378	blood
GSM646767	GSE26339	adipose tissue
GSM646766	GSE26339	adipose tissue
GSM466189	GSE18791	monocyte-derived dendritic cell
GSM466188	GSE18791	monocyte-derived dendritic cell
GSM646761	GSE26339	adipose tissue
GSM646760	GSE26339	adipose tissue
GSM553638	GSE22229	blood
GSM553639	GSE22229	blood
GSM518604	GSE20677	peripheral blood mononuclear cell
GSM518602	GSE20677	peripheral blood mononuclear cell
GSM518603	GSE20677	peripheral blood mononuclear cell
GSM388089	GSE15471	pancreas
GSM287147	GSE12253	respiratory epithelium cell
GSM388083	GSE15471	pancreas
GSM388082	GSE15471	pancreas
GSM388081	GSE15471	pancreas
GSM388080	GSE15471	pancreas
GSM388087	GSE15471	pancreas
GSM388086	GSE15471	pancreas
GSM388085	GSE15471	pancreas
GSM388084	GSE15471	pancreas
GSM281849	GSE11190	blood
GSM281848	GSE11190	blood
GSM281847	GSE11190	blood
GSM281846	GSE11190	blood
GSM281845	GSE11190	blood
GSM281844	GSE11190	liver
GSM281843	GSE11190	liver
GSM281842	GSE11190	liver
GSM281841	GSE11190	liver
GSM281840	GSE11190	liver
GSM159140	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM202225	GSE8167	stomach
GSM531642	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM159146	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM531641	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM159147	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM531640	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM159144	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM531647	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM159145	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM531646	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM523851	GSE20950	subcutaneous adipose tissue, adipose tissue
GSM523850	GSE20950	subcutaneous adipose tissue, adipose tissue
GSM523853	GSE20950	subcutaneous adipose tissue, adipose tissue
GSM523852	GSE20950	subcutaneous adipose tissue, adipose tissue
GSM523855	GSE20950	subcutaneous adipose tissue, adipose tissue
GSM523854	GSE20950	subcutaneous adipose tissue, adipose tissue
GSM523857	GSE20950	adipose tissue
GSM523856	GSE20950	adipose tissue
GSM523859	GSE20950	adipose tissue
GSM523858	GSE20950	adipose tissue
GSM337539	GSE13367	colon
GSM337538	GSE13367	colon
GSM337531	GSE13367	colon
GSM337530	GSE13367	colon
GSM337533	GSE13367	colon
GSM337532	GSE13367	colon
GSM337535	GSE13367	colon
GSM337534	GSE13367	colon
GSM337537	GSE13367	colon
GSM337536	GSE13367	colon
GSM491260	GSE19615	breast
GSM491261	GSE19615	breast
GSM491262	GSE19615	breast
GSM491263	GSE19615	breast
GSM491264	GSE19615	breast
GSM491265	GSE19615	breast
GSM491266	GSE19615	breast
GSM491267	GSE19615	breast
GSM491269	GSE19615	breast
GSM183306	GSE7568	macrophage
GSM183305	GSE7568	macrophage
GSM466981	GSE18842	lung
GSM466980	GSE18842	lung
GSM494010	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494011	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494012	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494013	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494014	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494015	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494016	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494017	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494018	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494019	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM262142	GSE10358	bone marrow
GSM262101	GSE10358, GSE12662	bone marrow
GSM262100	GSE10358, GSE12662	bone marrow
GSM262103	GSE10358	bone marrow
GSM274898	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM274899	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM274895	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM274896	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM274897	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM387239	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387238	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM125011	GSE5460	breast
GSM125010	GSE5460	breast
GSM125017	GSE5460	breast
GSM125016	GSE5460	breast
GSM125015	GSE5460	breast
GSM125014	GSE5460	breast
GSM387231	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387230	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387233	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387232	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387235	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387234	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387237	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387236	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM572657	GSE23332	blood
GSM431147	GSE17183	hepatocyte
GSM431146	GSE17183	lymphocyte
GSM431145	GSE17183	lymphocyte
GSM431144	GSE17183	hepatocyte
GSM431143	GSE17183	hepatocyte
GSM431142	GSE17183	lymphocyte
GSM431141	GSE17183	lymphocyte
GSM431140	GSE17183	hepatocyte
GSM431149	GSE17183	lymphocyte
GSM431148	GSE17183	hepatocyte
GSM642846	GSE26176, GSE26177	uterine cervix
GSM642847	GSE26176, GSE26177	uterine cervix
GSM642848	GSE26176, GSE26177	uterine cervix
GSM642849	GSE26176, GSE26177	uterine cervix
GSM443834	GSE17772	testis
GSM443832	GSE17772	testis
GSM443833	GSE17772	testis
GSM550818	GSE22148	sputum
GSM161958	GSE7014	skeletal muscle
GSM161959	GSE7014	skeletal muscle
GSM161952	GSE7014	skeletal muscle
GSM161953	GSE7014	skeletal muscle
GSM161950	GSE7014	skeletal muscle
GSM161951	GSE7014	skeletal muscle
GSM161956	GSE7014	skeletal muscle
GSM161957	GSE7014	skeletal muscle
GSM161954	GSE7014	skeletal muscle
GSM161955	GSE7014	skeletal muscle
GSM201861	GSE8157	skeletal muscle
GSM201862	GSE8157	skeletal muscle
GSM461889	GSE18557	uterine endometrium
GSM461888	GSE18557	uterine endometrium
GSM158853	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158852	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158851	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158850	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158857	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158856	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158855	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158854	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158859	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158858	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM624955	GSE25462	skeletal muscle
GSM306808	GSE12187	blood
GSM281441	GSE11166	kidney
GSM281440	GSE11166	kidney
GSM306801	GSE12187	blood
GSM306800	GSE12187	blood
GSM306803	GSE12187	blood
GSM306802	GSE12187	blood
GSM306805	GSE12187	blood
GSM306804	GSE12187	blood
GSM306807	GSE12187	blood
GSM306806	GSE12187	blood
GSM103563	GSE5110	skeletal muscle
GSM103560	GSE5110	skeletal muscle
GSM103565	GSE5110	skeletal muscle
GSM103564	GSE5110	skeletal muscle
GSM217787	GSE8762	lymphocyte
GSM217786	GSE8762	lymphocyte
GSM217785	GSE8762	lymphocyte
GSM217784	GSE8762	lymphocyte
GSM217783	GSE8762	lymphocyte
GSM217782	GSE8762	lymphocyte
GSM217781	GSE8762	lymphocyte
GSM217780	GSE8762	lymphocyte
GSM494252	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494253	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM429434	GSE17183	lymphocyte
GSM494251	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM429432	GSE17183	hepatocyte
GSM429433	GSE17183	lymphocyte
GSM494254	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM429431	GSE17183	hepatocyte
GSM494258	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM494259	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM624042	GSE25414	blood
GSM624043	GSE25414	blood
GSM624040	GSE25414	blood
GSM624041	GSE25414	blood
GSM624044	GSE25414	blood
GSM624045	GSE25414	blood
GSM471977	GSE19067	T-cell lymphoma cell
GSM471974	GSE19067	T-cell lymphoma cell
GSM471975	GSE19067	T-cell lymphoma cell
GSM471972	GSE19067	T-cell lymphoma cell
GSM471973	GSE19067	T-cell lymphoma cell
GSM155729	GSE6798	skeletal muscle
